Date,SORA,Compound SORA - 3 month,Compound SORA - 6 month
3/1/2017,0.2354,0.1478,0.14
4/1/2017,0.1257,0.1488,0.1399
5/1/2017,0.104,0.1494,0.1399
6/1/2017,0.1122,0.1498,0.1403
9/1/2017,0.0523,0.149,0.1402
10/1/2017,0.0301,0.1485,0.1399
11/1/2017,0.0378,0.1476,0.1398
12/1/2017,0.0555,0.147,0.1398
13/1/2017,0.1292,0.149,0.1405
16/1/2017,0.1119,0.1493,0.1405
17/1/2017,0.1605,0.1507,0.1407
18/1/2017,0.1319,0.1518,0.1411
19/1/2017,0.0983,0.1523,0.1413
20/1/2017,0.0598,0.1502,0.1368
23/1/2017,0.0799,0.1493,0.1354
24/1/2017,0.0865,0.1482,0.1339
25/1/2017,0.0685,0.148,0.1309
26/1/2017,0.1849,0.1493,0.1276
27/1/2017,0.5198,0.1681,0.126
31/1/2017,0.1388,0.1688,0.1248
1/2/2017,0.1208,0.1693,0.1244
2/2/2017,0.2009,0.1706,0.1251
3/2/2017,0.4127,0.182,0.1315
6/2/2017,0.3364,0.1848,0.1332
7/2/2017,0.1171,0.1855,0.1338
8/2/2017,0.1515,0.1863,0.1345
9/2/2017,0.338,0.189,0.1363
10/2/2017,0.5471,0.2051,0.1449
13/2/2017,0.6944,0.2123,0.1486
14/2/2017,0.3852,0.2154,0.1506
15/2/2017,0.1524,0.2162,0.1511
16/2/2017,0.0975,0.2165,0.1513
17/2/2017,0.1687,0.2203,0.1524
20/2/2017,0.156,0.2215,0.1528
21/2/2017,0.5143,0.2259,0.1552
22/2/2017,0.6109,0.2316,0.1582
23/2/2017,0.5746,0.2371,0.1609
24/2/2017,0.2226,0.2365,0.1629
27/2/2017,0.3106,0.2364,0.1635
28/2/2017,0.4731,0.2413,0.163
1/3/2017,0.305,0.2442,0.1641
2/3/2017,0.1629,0.2455,0.1646
3/3/2017,0.183,0.2494,0.1663
6/3/2017,0.2365,0.2507,0.1673
7/3/2017,0.1343,0.2515,0.1679
8/3/2017,0.0555,0.2509,0.1681
9/3/2017,0.1194,0.251,0.1686
10/3/2017,0.1532,0.2517,0.1707
13/3/2017,0.1035,0.2486,0.171
14/3/2017,0.1423,0.246,0.1714
15/3/2017,0.1113,0.243,0.1718
16/3/2017,0.3634,0.2442,0.1736
17/3/2017,0.4885,0.2509,0.1809
20/3/2017,0.6229,0.2545,0.1841
21/3/2017,0.343,0.2558,0.1857
22/3/2017,0.3168,0.2582,0.1872
23/3/2017,0.1248,0.2572,0.1876
24/3/2017,0.2633,0.2592,0.191
27/3/2017,0.2306,0.2585,0.1918
28/3/2017,0.195,0.2562,0.1922
29/3/2017,0.4827,0.257,0.1938
30/3/2017,0.4343,0.2567,0.1952
31/3/2017,0.5687,0.2604,0.2025
3/4/2017,0.6962,0.2655,0.2061
4/4/2017,0.3758,0.2683,0.2079
5/4/2017,0.3076,0.2705,0.2094
6/4/2017,0.2147,0.2717,0.2102
7/4/2017,0.1849,0.2748,0.2113
10/4/2017,0.2675,0.2774,0.2123
11/4/2017,0.3735,0.2811,0.2137
12/4/2017,0.4849,0.2859,0.2157
13/4/2017,0.7076,0.3118,0.2297
17/4/2017,0.4296,0.3148,0.2319
18/4/2017,0.3628,0.3174,0.2337
19/4/2017,0.247,0.319,0.2348
20/4/2017,0.362,0.3224,0.2365
21/4/2017,0.4809,0.3362,0.2418
24/4/2017,0.4397,0.3402,0.2432
25/4/2017,0.4835,0.3448,0.2454
26/4/2017,0.5996,0.3494,0.2483
27/4/2017,0.3922,0.348,0.2501
28/4/2017,0.4526,0.3518,0.2591
2/5/2017,0.446,0.3545,0.2611
3/5/2017,0.512,0.3557,0.2637
4/5/2017,0.3957,0.3555,0.2655
5/5/2017,0.469,0.3615,0.2721
8/5/2017,0.4946,0.3654,0.2744
9/5/2017,0.4974,0.3666,0.279
11/5/2017,0.505,0.3662,0.2816
12/5/2017,0.5746,0.3673,0.2902
15/5/2017,0.5159,0.3713,0.2926
16/5/2017,0.7252,0.3784,0.2962
17/5/2017,0.582,0.383,0.2991
18/5/2017,0.5199,0.387,0.3017
19/5/2017,0.5588,0.3964,0.3099
22/5/2017,0.5613,0.3959,0.3125
23/5/2017,0.4187,0.3941,0.3144
24/5/2017,0.4127,0.3962,0.3163
25/5/2017,0.3323,0.3975,0.3163
26/5/2017,0.4495,0.4021,0.3192
29/5/2017,0.3589,0.4017,0.3198
30/5/2017,0.4404,0.4021,0.3205
31/5/2017,0.4503,0.4018,0.3226
1/6/2017,0.3647,0.4025,0.3243
2/6/2017,0.5698,0.4153,0.3329
5/6/2017,0.6237,0.4201,0.3358
6/6/2017,0.711,0.4253,0.3391
7/6/2017,0.8227,0.4328,0.3433
8/6/2017,0.4644,0.4372,0.3452
9/6/2017,0.2618,0.4411,0.3477
12/6/2017,0.2335,0.442,0.3481
13/6/2017,0.0917,0.4419,0.3464
14/6/2017,0.1126,0.4416,0.345
15/6/2017,0.1495,0.442,0.3437
16/6/2017,0.1433,0.4321,0.342
19/6/2017,0.1576,0.4285,0.3408
20/6/2017,0.1526,0.4234,0.34
21/6/2017,0.276,0.4226,0.3403
22/6/2017,0.4513,0.4241,0.3422
23/6/2017,1.1334,0.4635,0.3626
27/6/2017,0.73,0.4689,0.365
28/6/2017,0.9212,0.4768,0.3679
29/6/2017,1.1955,0.4846,0.3722
30/6/2017,0.8239,0.4935,0.3778
3/7/2017,0.8275,0.495,0.381
4/7/2017,1.214,0.5042,0.3871
5/7/2017,1.2275,0.5143,0.3933
6/7/2017,0.9298,0.5222,0.3978
7/7/2017,1.1808,0.5551,0.4159
10/7/2017,1.1877,0.5652,0.4223
11/7/2017,1.068,0.5728,0.428
12/7/2017,0.9984,0.5785,0.4332
13/7/2017,0.5523,0.5768,0.4356
14/7/2017,0.3909,0.5663,0.44
17/7/2017,0.3072,0.565,0.4408
18/7/2017,0.2644,0.5639,0.4415
19/7/2017,0.4248,0.5658,0.4433
20/7/2017,0.5738,0.5682,0.4462
21/7/2017,0.6979,0.5753,0.4567
24/7/2017,0.7706,0.579,0.4605
25/7/2017,0.78,0.5822,0.4644
26/7/2017,0.7354,0.5837,0.4675
27/7/2017,0.5795,0.5858,0.4678
28/7/2017,0.7337,0.5935,0.4713
31/7/2017,0.986,0.5993,0.476
1/8/2017,0.8904,0.6041,0.4803
2/8/2017,0.9353,0.6094,0.4844
3/8/2017,0.6009,0.6104,0.4854
4/8/2017,0.6899,0.6184,0.4904
7/8/2017,0.4968,0.6187,0.4925
8/8/2017,0.4332,0.6173,0.4946
10/8/2017,0.3925,0.6162,0.4938
11/8/2017,0.4601,0.6132,0.4915
14/8/2017,0.6628,0.6142,0.493
15/8/2017,0.7048,0.6162,0.4961
16/8/2017,0.7716,0.6167,0.4998
17/8/2017,0.6699,0.6177,0.5026
18/8/2017,0.8218,0.6267,0.5135
21/8/2017,0.8527,0.6299,0.5154
22/8/2017,0.9036,0.6336,0.517
